,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1269,WW R22 4AIV #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.20,0.91,1.75,85-87
1438,WW T24 3AI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.20,0.92,1.61,85-87
1306,WW S21 3A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.98,0.97,1.68,85-87
1341,WW S24 2B #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.24,0.98,1.95,85-87
1284,WW R23 3A #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.06,1.00,1.50,85-87
863,NBC R65/66 AO CHARLES #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.00,1.02,1.18,"78,79"
1245,WW Q22 3AII #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,2.78,1.03,1.43,85-87
580,NBC 1.2.79 SQ1 MARK,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3350,3586,3586,4,3.37,1.04,1.51,"78,79"
998,NBC XO BETTY #32,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.98,1.04,1.48,"78,79"
1174,WW 4BII #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.38,1.05,1.25,85-87
1419,WW T22 4CI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,3.74,1.06,1.53,85-87
1304,WW R25 4BI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.25,1.06,1.64,85-87
833,NBC R65/66 AI BILL #22,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,3.60,1.07,1.51,"78,79"
1330,WW S23 4AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.33,1.08,1.24,85-87
1170,WW 4BI #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,3.35,1.08,1.58,85-87
1283,WW R23 3A #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.62,1.08,1.50,85-87
1478,WW T27 3BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.24,1.09,1.26,85-87
1475,WW T27 3AI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.76,1.09,1.76,85-87
417,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.76,1.10,1.95,"60,67"
418,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.13,1.10,1.95,"60,67"
832,NBC R65/66 AI BILL #21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,3.64,1.12,1.50,"78,79"
1290,WW R23 4AII #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,3.96,1.12,1.33,85-87
1494,WW T28 3BII #6,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,3450,3371,3371,4,3.17,1.12,1.04,85-87
1309,WW S22 2B #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,2.92,1.13,1.06,85-87
